Sl No,Level,Country,Number of Vote,Date of Votes,eng,ger,fre,ita,spa,por,jpn,chi,rus,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
11,Country,Switzerland,584,18/05/2014,Law on the funds for combat aircraft Gripen (Gripen fund law),Bundesgesetz vom 27.09.2013 über den Fonds zur Beschaffung des Kampfflugzeugs Gripen (Gripen-Fonds-Gesetz),Loi fédérale sur le fonds d'acquisition de l'avion de combat Gripen (Loi sur le fonds Gripen),Legge federale del 27.09.2013 sul fondo per l'acquisto dell'aereo da combattimento Gripen (Legge sul Fondo Gripen),,,,,,119,71,4,25,17,0,Acceptance,5221519,138548,2941136,43627,9022,1345726,1542761,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),,,SP  Grüne  Gruppe Schweiz ohne Armee (GSoA) haben das Referendum ergriffen. www.nein-zum-gripen.ch  www.stop-gripen.ch,,Security policy | Army | Public expenditure,56.33,2888487,46.59,53.41,no,
12,Country,Switzerland,578,09/02/2014,Financing and expansion of the railway infrastructure,Bundesbeschluss über die Finanzierung und Ausbau der Eisenbahninfrastruktur (FABI),Arrête fédéral portant règlement du financement et de l'aménagement de l'infrastructure ferroviaire (FAIF),Decreto federale concernente il finanziamento e l’ampliamento dell’infrastruttura ferroviaria (controprogetto diretto all’iniziativa popolare «Per i trasporti pubblici»),,,,,,116,33,5,37,0,0,Acceptance,5211426,137480,2930777,56560,9163,1776878,1088176,22,1,none,,,,,,Constitutional Referendum (Partialrevision),,,,Die FABI-Vorlage ist ein direkter Gegenentwurf zur Volksinitiative «Für den öffentlichen Verkehr»  die zurückgezogen wurde.,Transport and infrastructure | Rail transport | Direct taxation,56.24,2865054,62.02,37.98,yes,
13,Country,Switzerland,579,09/02/2014,"""Financing abortion is a private matter - no health insurance coverage for the costs of termination of pregnancy""",Volksinitiative «Abtreibungsfinanzierung ist Privatsache - Entlastung der Krankversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung»,Initiative populairce «Financer l'avortement est une affaire privée»,Iniziativa popolare del 04.07.2011 «Il finanziamento dell’aborto è una questione privata – Sgravare l’assicurazione malattie stralciando i costi dell’interruzione di gravidanza dall’assicurazione di base obbligatoria»,,,,,,33,155,7,5,37,0,Rejection,5211426,137480,2940167,38655,8903,873060,2019549,0.5,22.5,none,,,,,,Initiative (Formulated Draft),,,Die Initiative stammt aus religiös-konservativen Kreisen  www.privatsache.ch,,Social Policy | Health policy | Health and accident insurance,56.42,2892609,30.18,69.82,no,
14,Country,Switzerland,580,09/02/2014,"""Against mass immigration""",Volksinitiative «Gegen Masseneinwanderung»,Initiative populaire «Contre l'immigration de masse»,Iniziativa popolare del 14.02.2012 «Contro l’immigrazione di massa»,,,,,,54,140,1,5,37,0,Rejection,5211426,137480,2948156,31094,8656,1463854,1444552,14.5,8.5,none,,,,,,Initiative (Formulated Draft),,,SVP,,Immigration policy | EU | Bilateral treaties,56.57,2908406,50.33,49.67,yes,
15,Country,Switzerland,575,24/11/2013,"""1:12 - For fair wages""",Volksinitiative «1:12 - Für gerechte Löhne»,Initiative populaire «1:12 - Pour des salaires équitables»,Iniziativa popolare del 21.03.2011 «1:12 - Per salari equi»,,,,,,56,130,1,10,28,4,Rejection,5203973,136156,2791082,31218,8147,954787,1796930,0,23,none,,,,,,Initiative (Formulated Draft),,,JUSO  Jungpartei der Sozialdemokraten,,Economy | Pricing policy | Employment,53.63,2751717,34.7,65.3,no,
16,Country,Switzerland,576,24/11/2013,"""Family initiative: tax deductions for parents who raise their children by themselves""",Vollksinitiative «Familieninitiative: Steuerabzüge auch für Eltern  die ihre Kinder selber betreuen»,Initiative populaire «Initiative pour les familles: déductions fiscales aussi pour les parents qui gardent eux-mêmes leurs enfants»,Iniziativa popolare del 12.07.2011 «Iniziativa a favore delle famiglie: deduzioni fiscali anche per i genitori che accudiscono personalmente i figli»,,,,,,72,110,7,17,26,2,Rejection,5203973,136156,2788725,36312,8252,1139670,1604491,2.5,20.5,none,,,,,,Initiative (Formulated Draft),,,SVP,,Public finance | Direct taxation | Family policy,53.59,2744161,41.53,58.47,no,
17,Country,Switzerland,577,24/11/2013,Law on taxes for the use of national roads (Motorway vignette),Änderung vom 22.03.2013 des Bundesgesetzes über die Abgabe für die Benützung von Nationalstrassen (Nationalstrassenabgabegesetz  NSAG) (Autobahnvignette),"Modification de la loi fédérale concernant la redevance pour l'utilisation des routes nationales (Loi sur la vignette autoroutière, LVA)","Modifica del 22.03.2013 della legge federale concernente la tassa per l'utilizzazione delle strade nazionali (Legge sul contrassegno stradale, LUSN)",,,,,,102,87,0,37,4,1,Acceptance,5203973,136156,2790051,31971,7964,1087368,1662748,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,www.100-fr-vignette-nein.ch Komitee bestehend aus SVP Mitglieder  Autoverbände,,Public finance | Indirect taxation | Road construction,53.61,2750116,39.54,60.46,no,
18,Country,Switzerland,572,22/09/2013,"""Yes to the abolition of compulsory military service""",Volksinitiative «Ja zur Aufhebung der Wehrpflicht»,Initiative populaire «Oui à l'abrogation du service militaire obligatoire»,Iniziativa popolare del 05.01.2012 'Sì all'abolizione del servizio militare obbligatorio',,,,,,57,128,4,8,32,2,Rejection,5194150,135134,2440536,21782,10958,644985,1762811,0,23,none,,,,,,Initiative (Formulated Draft),,,Gruppe Schweiz ohne Armee (GSoA)  www.wehrpflicht-aufheben.ch,Die Volksinitiative will den bestehenden Verfassungsartike «Jeder Schweizer ist verpflichtet  Militärdienst zu leisten» ersetzen durch die Bestimmung «Niemand kann verpflichtet werden  Militärdienst zu leisten». Der Verfassungsartikel «die Schweiz hat eine Armee. Diese ist grundsätzlich nach dem Milizprinzip organiseiert.» wird von der Initiative nicht tangiert.,Security policy | Army | Abolition of the armed forces,46.99,2407796,26.79,73.21,no,
19,Country,Switzerland,573,22/09/2013,Control of communicable diseases (Epidemics law),Budesgesetz über die Bekämpfung übertragbarer Krankheiten des Menschen (Epidemiengesetz  EpG),"Loi fédérale sur la lutte contre les maladies transmissibles de l'homme (Loi sur les épidémies, Lep)","Legge federale del 28.09.2012 sulla lotta contro le malattie trasmissibili dell'essere umano (Legge sulle epidemie, Lep)",,,,,,149,14,25,40,2,3,Acceptance,5194150,135134,2428987,53727,11575,1395607,968078,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Eine Gruppe kleinerer  alternativmedizinisch oder religiös engagierter Verbände hat gegen das neue Epidemiegesetz das Referendum ergriffen.,,Civil protection | Health policy | Division of tasks,46.76,2363685,59.04,40.96,yes,
20,Country,Switzerland,574,22/09/2013,"Labour in industry, business and trade (Employment law)",Änderung vom 14. Dezember 2012 des Bundesgesetzes über die Arbeit in Industrie  Gewerbe und Handel (Arbeitsgesetz  ArG),"Modification de la loi fédérale sur le travail dans l'industrie, l'artisanat et le commerce (Loi sur le travail, LTr)","Modifica del 14.12.2012 della legge federale sul lavoro nell'industria, nell'artigianato e nel commercio (Legge sul lavoro, LL)",,,,,,128,59,2,29,11,3,Acceptance,5194150,135134,2429435,46811,Not known,1345662,1025817,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Gegen das Gesetz ist die Sonntagsallianz  der CSP  EVP  Grüne  SP  Gewerkschaften  Landkirchen und Arbeitsmediziner angehören.,,Economy | Employment | none,46.77,2371479,56.74,43.26,yes,
21,Country,Switzerland,570,09/06/2013,"""Election of the cabinet members by the people""",Volksinitiative «Volkswahl des Bundesrates»,Initiative populaire «Election du Conseil fédéral par le peuple»,Iniziativa popolare del 07.07.2011 'Elezione del Consiglio federale da parte del Popolo',,,,,,49,137,9,5,34,3,Rejection,5184426,133700,2048664,12777,5516,480291,1550080,0,23,none,,,,,,Initiative (Formulated Draft),,,SVP  www.volkswahl.ch,,"State organisation | Government, administration | Citizens' rights",39.52,2030371,23.66,76.34,no,
22,Country,Switzerland,571,09/06/2013,Urgent amendment of the law on asylum,Dringliche Änderungen des Asylgesetzes,Modification de la loi sur l’asile (Lasi) (Modifications urgentes de la loi sur l’asile),Modifica del 28.09.2012 della legge sull’asilo (Lasi) (Modifiche urgenti della legge sull’asilo),,,,,,122,49,14,36,9,0,Acceptance,5184426,133700,2044092,33033,5878,1573007,432174,,,none,,,,,,Optional Legislative Referendum (Federal acts declared urgent),,,Junge Grüne zusammen mit verschiedenen Asylrechtsorganisationen und kirchlichen Vereinigungen,,Social Policy | Social groups | Refugees,39.43,2005181,78.45,21.55,yes,
23,Country,Switzerland,567,03/03/2013,Constitutional amendment on family policy,Bundesbeschluss vom 15. Juni 2012 über die Familienpolitik,Arrêté fédéral sur la politique familiale,Decreto federale del 15.06.2012 sulla politica familiare,,,,,,129,57,2,28,12,1,Acceptance,5174680,132688,2412095,42998,6615,1283951,1078531,10,13,none,,,,,,Constitutional Referendum (Partialrevision),,,,,Family policy | Employment policy | Education policy,46.61,2362482,54.35,45.65,no,
24,Country,Switzerland,568,03/03/2013,"""Fat cat pay (Curb top manager salaries)""",Volksinitiative «gegen die Abzockerei»,Initiative populaire «Contre les rémunérations abusives»,Iniziativa popolare del 26.02.2008 'contro le retribuzioni abusive',,,,,,87,104,4,14,26,1,Rejection,5174680,132688,2418825,34173,6493,1616184,761975,23,0,none,,,,,,Initiative (Formulated Draft),,,Thomas Minder,Zwar haben beide Kammer der Botschaft des Bundesrates zur Volksinitiative (Ablehnung) und zur Änderung des Obligationsrecht (Zustimmung)  BBl 2009 299 zugestimmt. Der Bundesrat und Ständerat empfehlen die Ablehnung der Initiative. Der Nationalrat hat keine Abstimmungsempfehlung beschlossen. Somit hat auch die Bundesversammlung als ganzes keine Abstimmungsempfehlung beschlossen.,Economic policy | Structural policy | Employment conditions,46.74,2378159,67.96,32.04,yes,
25,Country,Switzerland,569,03/03/2013,Spatial planning law,Änderung des Raumplanungsgesetzes (RPG),"Modification de la loi fédérale sur l’aménagement du territoire (Loi sur l’aménagement du territoire, LAT)","Modifica del 15.06.2012 della legge federale sulla pianificazione del territorio (Legge sulla pianificazione del territorio, LPT)",,,,,,108,77,10,30,10,1,Acceptance,5174680,132688,2406787,51840,6491,1476942,871514,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,www.rpg-revision-nein.ch,Die Änderung des Raumplanungsgesetzes wurde vom Parlament als indirekter Gegenvorschlag zur Landschaftsinitiative beschlossen. Diese verlangt  dass die Gesamtfläche der Bauzonen in der Schweiz während 20 Jahren nicht vergrössert wird. Sie wurde vom Initiativkomitee unter der Bedingung zuru?ckgezogen  dass die Revision des Raumplanungsgesetzes in Kraft tritt. Wird die nun vorliegende Revision abgelehnt  so kommt die Landschaftsinitiative zur Abstimmung.,Soil | Spatial planning | Division of tasks,46.51,2348456,62.89,37.11,yes,
26,Country,Switzerland,566,25/11/2012,Law on epizootic diseases,Änderung des Tierseuchengesetzes (TSG),Modification de la loi sur les épizooties (LFE),Modifica del 16.03.2012 della legge sulle epizoozie (LFE),,,,,,192,1,3,43,0,0,Acceptance,5166732,133104,1425830,3588,4238,946220,439484,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Eine Gruppe von Bio- und Kleinbauern sowie Impfgegnern ergriff das Referendum,,Agriculture | Animal protection | Territoral questions,27.6,1385704,68.28,31.72,yes,
27,Country,Switzerland,563,23/09/2012,Promotion of music for young people (Counter-proposal to the withdrawn people's initiative «Youth + Music»),Bundesbeschluss über die Jungedmusikförderung (Gegenentwurf zur zurückgezogenen Volksinitiative «jugend + musik»,Arrêté fédéral sur la promotion de la formation musicale des jeunes (contre-projet à l’initiative populaire «jeunesse + musique»),Decreto federale sulla promozione della formazione musicale dei giovani (Controprogetto all’iniziativa popolare 'gioventù + musica'),,,,,,156,31,8,31,6,6,Acceptance,5160811,132102,2188758,46630,6852,1552045,583231,23,0,none,,,,,,Constitutional Referendum (Counter-draft),,,Befürworter-Komitee mit Vertreter aller Parteien,Auslöser für den Artikel war die Musikinitiative  die von Profi- und Laienverbänder der Musik getragen wird. Das Parlament hat die Initiative fast wörtlich übernommen  mit der Einschränkung  dass primär die Kantone für Musikunterricht zuständig sind. Der Bund darf erst eingreifen  wenn die Kantone die Vorgaben nicht erfüllen. Aufgrund des Entgegenkommens des Parlaments  haben die Initianten ihr Begehren zurückgezogen.,Education and research | Education policy | Children and young people,42.41,2135276,72.69,27.31,yes,
28,Country,Switzerland,564,23/09/2012,"""Promoting acquisition of residential property by the older generation""",Eidegenössische Volksinitiative vom 23.07.2009 «Sicheres Wohnen im Alter»,Initiative populaire «Sécurité du logement à la retraite»,Iniziativa popolare del 23.01.2009 'Sicurezza dell’alloggio per i pensionati',,,,,,77,119,1,6,36,1,Rejection,5160811,132102,2194727,48172,7044,1014016,1125495,9.5,13.5,none,,,,,,Initiative (Formulated Draft),,,Hauseigentümerverband HEV  www.sicheres-wohnen.ch Wird auch von der SVP unterstützt,Die Initiative will den Besitzern von selbst genutzten Häusern und Wohnungen ermöglichen  sich im Rentenalter vom Eigenmietwert zu befreien.,"Direct taxation | Building of residential housing, property ownership | Senior citizens",42.53,2139511,47.39,52.61,no,
29,Country,Switzerland,565,23/09/2012,"""Protection from exposure to tobacco smoke""",Volksintiative vom 18. Mai 2010 «Schutz vor Passivrauchen»,Initiative populaire «Protection contre le tabagisme passif»,Iniziativa popolare del 18.05.2010 'Protezione contro il fumo passivo',,,,,,52,138,4,7,28,7,Rejection,5160811,132102,2209395,23580,6625,741205,1437985,1,22,none,,,,,,Initiative (Formulated Draft),,,Lanciert durch: Lungenliga  www.rauchfrei-ja.ch Initiative wird unterstützt auch von den Ärzteverbindungen   FMH  Drogistenverband  Krebsliga  Suchtvebände  Gewerkschaftsbund Travailsuisse sowie Stiftung Konsumentenschutz und linke Parteien.,Die Initianten wollen in der ganzen Schweiz ein strengeres Rauchverbot in öffentlichen Räumen und Restaurants einführen.,Health policy | Addictive substances | Employment conditions,42.81,2179190,34.01,65.99,no,
30,Country,Switzerland,560,17/06/2012,"""Your own four walls by saving through a building society""",Volksinitiative «Eigene vier Wände dank Bausparen»,Initiative populaire «Accéder à la propriété grâce à l'épargne-logement»,Iniziativa popolare del 23.01.2009 'Accesso alla proprietà grazie al risparmio per l'alloggio',,,,,,98,72,Not known,16,24,Not known,Rejection,5149086,131074,1984038,44095,5655,601449,1332839,0,23,none,,,,,,Initiative (Formulated Draft),,,Hauseigentümerverband HEV www.bausparen-Ja.ch,,"Housing | Building of residential housing, property ownership | Tax policy",38.53,1934288,31.09,68.91,no,
31,Country,Switzerland,561,17/06/2012,"""Boosting people's rights on foreign policy (Submitting state treaties to the people!)""",Volksinitiative vom 11.08.2009 «Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!),Initiative populaire «Pour le renforcement des droits populaires dans la politique étrangère» (accords internationaux: la parole au peuple!),Iniziativa popolare dell'11.08.2009 'Per il rafforzamento dei diritti popolari in politica estera (accordi internazionali: decida il popolo!)',,,,,,56,139,1,6,36,1,Rejection,5149086,131074,1983704,35344,5528,480173,1462659,0,23,none,,,,,,Initiative (Formulated Draft),,,Aktion für eine unabhängige und neutrale Schweiz (AUNS) www.staatsverträge.ch,,Citizens' rights | Referendum | Foreign policy,38.53,1942832,24.72,75.28,no,
32,Country,Switzerland,562,17/06/2012,Law on the health insurance (Managed Care),Änderung vom 30.09.2011 des Bundesgesetzes über die Krankenversicherung (KVG) (Managed Care),Modification de la loi fédérale sur l’assurance-maladie (LAMal) (Réseaux de soins),Modifica del 30.09.2011 della legge federale sull’assicurazione malattie (LAMal) (Managed Care),,,,,,133,46,17,28,6,10,Acceptance,5149086,131074,1990232,35211,5492,466993,1482536,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Es ist an sich ein überparteiliches Komitee. Gegen die Vorlage sind SP  SVP und BDP sowie Vereinigungen der Spezialärzte und die Ärzteverbindung FMH,,Health policy | Social security | Health and accident insurance,38.65,1949529,23.95,76.05,no,
33,Country,Switzerland,558,11/03/2012,"Regulation of gambling for charitable purposes (Counter-proposal to the people's initiative ""Gambling for public wealth"")",Bundesbeschluss vom 29. September 2011 über die Regelung der Geldspiele zugunsten gemeinnütziger Zwecke (Gegenentwurf zur Volksinitiative 'Für Geldspiele im Dienste des Gemeinwohls'),Arrêté fédéral concernant la réglementation des jeux d’argent en faveur de l’utilité publique (Contre-projet à l’initiative «Pour des jeux d’argent au service du bien commun»),Decreto federale del 29.09.2011 concernente il disciplinamento dei giochi in denaro a favore dell’utilità pubblica (controprogetto all’iniziativa 'Per giochi in denaro al servizio del bene comune'),,,,,,140,3,0,34,0,0,Acceptance,5139055,129644,2300568,92758,7520,1916182,284108,23,0,none,,,,,,Constitutional Referendum (Counter-draft),,,,Der Beschluss ist ein Gegenentwurf zur zurückgezogenen Volksinitiative «für Geldspiele im Dienste des Gemeinwohls». Hinter der Initiative standen staatliche Anbieter von Glücksspielen sowie mehrere Kantone. Mit dem Anliegen wollten sie sicherstellen  dass die Erträge angesichts privater Konkurrenz im Internet weiterhin dem Staat zugutekommen.,Lottery and gambling | Public finance | Consumer protection,44.77,2200290,87.09,12.91,yes,
34,Country,Switzerland,559,11/03/2012,Fixed prices for books,Bundesgesetz 18.03.2011 über die Buchpreisbindung (BuPG),Loi fédérale sur la réglementation du prix du livre (LPL),Legge federale del 18.03.2011 sul prezzo fisso dei libri (LPLib),,,,,,96,86,5,23,19,1,Acceptance,5139055,129644,2305239,96702,7682,966633,1234222,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Referendumskomitee: www.buchpreisbindung-nein.ch,,Economic policy | Pricing policy | Cultural policy,44.86,2200855,43.92,56.08,no,
35,Country,Switzerland,555,11/03/2012,"""Stop unconstrained building of holiday homes""",Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen»,Initiative populaire «Pour en finir avec les constructions envahissantes de résidences secondaires»,Iniziativa popolare del 18.12.2007 'Basta con la costruzione sfrenata di abitazioni secondarie!',,,,,,61,123,3,10,29,3,Rejection,5139055,129644,2321951,38798,6753,1152598,1123802,13.5,9.5,none,,,,,,Initiative (Formulated Draft),,,- Fondation Franz Weber & Helevetia Nostra www.zweitwohnungsinitiative.ch,2011 ist das revidierte RPG in Kraft getreten  welches die Änderungen im Rahmen des indirketen Gegenvorschlags des Parlaments beinhaltet. Dieser fordert die Gemeinden und Kantone u.a. auf  ein ausgewogenes Verhältnis zwischen den Kategorien Erst- bzw Zweitwohnungen herzustellen. Eine Konkretisierung der beiden Kategorien fehlt jedoch.,Environment and living space | Housing | Spatial planning,45.18,2276400,50.63,49.37,yes,
