Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
11,Country,Switzerland,580,2014-02-09,Citizens' initiative «Against mass immigration»,Volksinitiative «Gegen Masseneinwanderung»,Initiative populaire «Contre l'immigration de masse»,,54,140,1,5,37,0,Rejection,5211426,137480,2948156,31094,8656,1463854,1444552,14.5,8.5,none,,,,,,Initiative (Formulated Draft),,,SVP,,Immigration policy | EU | Bilateral treaties,56.57,2908406,50.33,49.67,yes,
12,Country,Switzerland,575,2013-11-24,Citizens' initiative «1:12 - for fair wages»,Volksinitiative «1:12 - Für gerechte Löhne»,,,56,130,1,10,28,4,Rejection,5203973,136156,2791082,31218,8147,954787,1796930,0,23,none,,,,,,Initiative (Formulated Draft),,,JUSO  Jungpartei der Sozialdemokraten,,Economy | Pricing policy | Employment,53.63,2751717,34.7,65.3,no,
13,Country,Switzerland,576,2013-11-24,Citizens' initiative «Family initiative: tax deductions for parents who raise their children by themselves too»,Vollksinitiative «Familieninitiative: Steuerabzüge auch für Eltern  die ihre Kinder selber betreuen»,,,72,110,7,17,26,2,Rejection,5203973,136156,2788725,36312,8252,1139670,1604491,2.5,20.5,none,,,,,,Initiative (Formulated Draft),,,SVP,,Public finance | Direct taxation | Family policy,53.59,2744161,41.53,58.47,no,
14,Country,Switzerland,572,2013-09-22,Citizens' initiative: «Yes to the abolition of compulsory military service»,Volksinitiative «Ja zur Aufhebung der Wehrpflicht»,,,57,128,4,8,32,2,Rejection,5194150,135134,2440536,21782,10958,644985,1762811,0,23,none,,,,,,Initiative (Formulated Draft),,,Gruppe Schweiz ohne Armee (GSoA)  www.wehrpflicht-aufheben.ch,Die Volksinitiative will den bestehenden Verfassungsartike «Jeder Schweizer ist verpflichtet  Militärdienst zu leisten» ersetzen durch die Bestimmung «Niemand kann verpflichtet werden  Militärdienst zu leisten». Der Verfassungsartikel «die Schweiz hat eine Armee. Diese ist grundsätzlich nach dem Milizprinzip organiseiert.» wird von der Initiative nicht tangiert.,Security policy | Army | Abolition of the armed forces,46.99,2407796,26.79,73.21,no,
15,Country,Switzerland,570,2013-06-09,Citizens' Initiative «Popular election of the federal government»,Volksinitiative «Volkswahl des Bundesrates»,,,49,137,9,5,34,3,Rejection,5184426,133700,2048664,12777,5516,480291,1550080,0,23,none,,,,,,Initiative (Formulated Draft),,,SVP  www.volkswahl.ch,,"State organisation | Government, administration | Citizens' rights",39.52,2030371,23.66,76.34,no,
16,Country,Switzerland,568,2013-03-03,Citizens' initiative against «fat-cat pay» (to curp senior managers' pay),Volksinitiative «gegen die Abzockerei»,,,87,104,4,14,26,1,Rejection,5174680,132688,2418825,34173,6493,1616184,761975,23,0,none,,,,,,Initiative (Formulated Draft),,,Thomas Minder,Zwar haben beide Kammer der Botschaft des Bundesrates zur Volksinitiative (Ablehnung) und zur Änderung des Obligationsrecht (Zustimmung)  BBl 2009 299 zugestimmt. Der Bundesrat und Ständerat empfehlen die Ablehnung der Initiative. Der Nationalrat hat keine Abstimmungsempfehlung beschlossen. Somit hat auch die Bundesversammlung als ganzes keine Abstimmungsempfehlung beschlossen.,Economic policy | Structural policy | Employment conditions,46.74,2378159,67.96,32.04,yes,
17,Country,Switzerland,564,2012-09-23,Citizens' initiative of 23.01.2009 «Safe housing for the elderly»,Eidegenössische Volksinitiative vom 23.07.2009 «Sicheres Wohnen im Alter»,,,77,119,1,6,36,1,Rejection,5160811,132102,2194727,48172,7044,1014016,1125495,9.5,13.5,none,,,,,,Initiative (Formulated Draft),,,Hauseigentümerverband HEV  www.sicheres-wohnen.ch Wird auch von der SVP unterstützt,Die Initiative will den Besitzern von selbst genutzten Häusern und Wohnungen ermöglichen  sich im Rentenalter vom Eigenmietwert zu befreien.,"Direct taxation | Building of residential housing, property ownership | Senior citizens",42.53,2139511,47.39,52.61,no,
18,Country,Switzerland,565,2012-09-23,Citizens' initiative of 18 May 2010 «Protection from exposure to tobacco smoke»,Volksintiative vom 18. Mai 2010 «Schutz vor Passivrauchen»,,,52,138,4,7,28,7,Rejection,5160811,132102,2209395,23580,6625,741205,1437985,1,22,none,,,,,,Initiative (Formulated Draft),,,Lanciert durch: Lungenliga  www.rauchfrei-ja.ch Initiative wird unterstützt auch von den Ärzteverbindungen   FMH  Drogistenverband  Krebsliga  Suchtvebände  Gewerkschaftsbund Travailsuisse sowie Stiftung Konsumentenschutz und linke Parteien.,Die Initianten wollen in der ganzen Schweiz ein strengeres Rauchverbot in öffentlichen Räumen und Restaurants einführen.,Health policy | Addictive substances | Employment conditions,42.81,2179190,34.01,65.99,no,
19,Country,Switzerland,560,2012-06-17,Citizens' initiative «Own four walls thanks to building savings»,Volksinitiative «Eigene vier Wände dank Bausparen»,,,98,72,Not known,16,24,Not known,Rejection,5149086,131074,1984038,44095,5655,601449,1332839,0,23,none,,,,,,Initiative (Formulated Draft),,,Hauseigentümerverband HEV www.bausparen-Ja.ch,,"Housing | Building of residential housing, property ownership | Tax policy",38.53,1934288,31.09,68.91,no,
20,Country,Switzerland,561,2012-06-17,Citizens' initiative of 11 August 2009 «For strengthening the popular rights on foreign policy (submittal of state treaties to the people!)»,Volksinitiative vom 11.08.2009 «Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!),,,56,139,1,6,36,1,Rejection,5149086,131074,1983704,35344,5528,480173,1462659,0,23,none,,,,,,Initiative (Formulated Draft),,,Aktion für eine unabhängige und neutrale Schweiz (AUNS) www.staatsverträge.ch,,Citizens' rights | Referendum | Foreign policy,38.53,1942832,24.72,75.28,no,
21,Country,Switzerland,555,2012-03-11,Citizen's initiative «To stop unconstrained building of secondary residences»,Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen»,,,61,123,3,10,29,3,Rejection,5139055,129644,2321951,38798,6753,1152598,1123802,13.5,9.5,none,,,,,,Initiative (Formulated Draft),,,- Fondation Franz Weber & Helevetia Nostra www.zweitwohnungsinitiative.ch,2011 ist das revidierte RPG in Kraft getreten  welches die Änderungen im Rahmen des indirketen Gegenvorschlags des Parlaments beinhaltet. Dieser fordert die Gemeinden und Kantone u.a. auf  ein ausgewogenes Verhältnis zwischen den Kategorien Erst- bzw Zweitwohnungen herzustellen. Eine Konkretisierung der beiden Kategorien fehlt jedoch.,Environment and living space | Housing | Spatial planning,45.18,2276400,50.63,49.37,yes,
22,Country,Switzerland,556,2012-03-11,Citizen's Initiative «For fiscal incentives for first private residential property acquisation and for tax incentives for energy-saving and environmental impact limitation for residences»,Volksinitiative «Für ein steuerlich begünstigtes Bausparen zum Erwerb von selbst genutztem Wohneigentum und zur Finanzierung von baulichen Energiespar- und Umweltschutzmassnahmen (Bauspar-Initiative)»,,,98,62,8,16,24,Not known,Rejection,5139055,129644,2311923,86188,7637,980273,1237825,4.5,18.5,none,,,,,,Initiative (Formulated Draft),,,Die Initiative wurde von einem Komitee um den früheren Baselbieter FDP-Nationalrat Hans-Rudolf Gysin lanciert und getragen. Siehe auch Schweizerische Gesellschaft zur Förderung des Bausparens und www.bausparen.ch  ,Das Parlament hat zur «Bauspar-Initiative» keine Empfehlung beschlosse  da der Nationalrat und Ständerat sich nicht einigen konnten. Siehe Erklärungen im Dokument «Parliamentary-Delibration»,Public finance | Tax policy | Budget cuts and remediation measures,44.99,2218098,44.19,55.81,no,
23,Country,Switzerland,557,2012-03-11,Citizen's Initiative «6 weeks holidays for all»,Volksinitiative «6 Wochen Ferien für alle»,,,61,122,2,10,32,0,Rejection,5139055,129644,2334005,23794,6508,771717,1531986,0,23,none,,,,,,Initiative (Formulated Draft),,,Die Initiative wurde vom Gewerkschaftsdachverband Travailsuisse lanciert. www.sechswochenferien.ch,,Employment conditions | Working hours | Health,45.42,2303703,33.5,66.5,no,
24,Country,Switzerland,554,2011-02-13,"Initiative ""Protection from gun violence""","Volksinitiative ""Für den Schutz vor Waffengewalt""",,,69,119,4,11,30,1,Rejection,5091652,123786,2501260,15117,7019,1083312,1395812,5.5,17.5,none,,,,,,Initiative (Formulated Draft),,,,,Armed forces - general | Public security | none,49.12,2479124,43.7,56.3,no,
25,Country,Switzerland,552,2010-11-28,"Citizens initiative ""for the expulsion of criminal foreigners"" (expulsion initiative)","Volksinitiative ""Für die Ausschaffung krimineller Ausländer (Ausschaffungsinititative)""",Initiative sur l'expulsion,,82,92,19,5,26,10,Rejection,5084053,123164,2690799,6217,9955,1397923,1243942,17.5,5.5,linked,Federal Decree of 10 june 2010 on the deporting of criminal foreigners (Counter-proposal),32762,1252761,13 4/2,150501,Initiative (Formulated Draft),,,SVP  http://www.ausschaffungsinitiative.ch/,,Fundamental rights | Immigration policy | Cultural policy,52.93,2674627,52.91,47.09,yes,
26,Country,Switzerland,553,2010-11-28,"Citizens initiative ""for equitables taxes""","Volksinitiative ""Für faire Steuern. Stopp dem Missbrauch beim Steuerwettbewrb (Steuergerechtigkeits-Initiative)""",Intitiative pour des impôts équitables,,64,128,2,11,29,1,Rejection,5084053,123164,2662110,68564,9728,1073229,1510589,19.5,3.5,none,,,,,,Initiative (General Suggestion),,,,,Tax policy | Tax system | Direct taxation,52.36,2583818,41.54,58.46,no,
27,Country,Switzerland,549,2010-03-07,"Citizen's initiative of 26 July 2007 ""against the cruelty of animals and for better legal protection of animals"".",Volksinitiative vom 26.07.2007 'Gegen Tierquälerei und für einen besseren Rechtsschutz der Tiere (Tierschutzanwalt-Initiative)',Initiative populaire du 26.07.2007 'Contre les mauvais traitements envers les animaux et pour une meilleure protection juridique de ces derniers (Initiative pour l'institution d'un avocat de la protection des animaux)',,130,50,13,30,6,2,Rejection,5051169,121431,2314490,30171,7447,671731,1605141,0,23,none,,,,,,Initiative (Formulated Draft),144844,,Schweizer Tierschutz STS Protection Suisse des Animaux PSA Protezione Svizzera degli animali PSA,,Animal protection | none | none,45.82,2276872,29.5,70.5,no,
28,Country,Switzerland,546,2009-11-29,"Citizen's initiative of 21.9.2007 ""For the prohibition of the export of munitions""","Volksinitiative vom 21.09.2007 ""Für ein Verbot von Kriegsmaterial-Exporten""",Initiative populaire du 21.09.2007 'Pour l'interdiction d'exporter du matériel de guerre',,63,131,0,7,35,3,Rejection,5039676,120283,2690488,45910,9290,837156,1798132,0,23,none,,,,,,Initiative (Formulated Draft),,,Bündnis gegen Kriegsmaterial-Exporte,,Arms | Foreign trade policy | none,53.39,2635288,31.77,68.23,no,
29,Country,Switzerland,547,2009-11-29,"Citizen's initiative of 8.7.2008 ""Against the construction of minarets""","Volksinitiative vom 08.07.2008 ""Gegen den Bau von Minaretten""",,,51,132,11,3,39,2,Rejection,5039676,120283,2709287,30519,9318,1535010,1134440,19.5,3.5,none,,,,,,Initiative (Formulated Draft),,,"Initiativ Kommitee ""Gegen den Bau von Minaretten"".",,Fundamental rights | Religion - churches | none,53.76,2669450,57.5,42.5,yes,
30,Country,Switzerland,535,2008-11-30,"Citizen's initiative ""For no statute of limitation for pornographic crimes against children"" ",Volksinitiative vom 01.03.2006 'für die Unverjährbarkeit pornografischer Straftaten an Kindern',Initiative populaire du 01.03.2006 'Pour l'imprescriptibilité des actes de pornographie enfantine',Iniziativa popolare del 01.03.2006 'Per l'imprescrittibilità dei reati di pornografia infantile',19,163,5,0,41,,Rejection,4996626,116650,2374312,40912,7958,1206323,1119119,18,5,none,,,0,,0,Initiative (Formulated Draft),119375,,Marche BlancheMarche BlancheMarche Blanche,,Criminal law | Children and young people | none,47.52,2325442,51.87,48.13,yes,
31,Country,Switzerland,536,2008-11-30,"Citizen's initiative ""For a flexible retiring age under the AVS (Old Age Insurance)"" ",Volksinitiative vom 28.03.2006 'Für ein flexibles AHV-Alter',Initiative populaire du 28.03.2006 'Pour un âge de l'AVS flexible',Iniziativa popolare del 28.03.2006 'Per un'età di pensionamento flessibile',61,127,2,7,32,3,Rejection,4996626,116650,2380196,27686,7691,970221,1374598,4,19,none,,,0,,0,Initiative (Formulated Draft),106507,,Initiativkomitee 'Für ein flexibles AHV-Alter'Comité d'initiative 'pour un âge de l'AVS flexible'Comitato promotore dell'iniziativa 'per un'età di pensionamento flessibile',,Pension insurance | Senior citizens | none,47.64,2344819,41.38,58.62,no,
32,Country,Switzerland,537,2008-11-30,"Citizen's initiative ""An organisation's right to appeal: enough obstructionism - more growth for Switzerland!   ",Volksinitiative vom 11.05.2006 'Verbandsbeschwerderecht: Schluss mit der Verhinderungspolitik - Mehr Wachstum für die Schweiz!',Initiative populaire du 11.05.2006 'Droit de recours des organisations: Assez d'obstructionnisme - Plus de croissance pour la Suisse!',Iniziativa popolare del 11.05.2006 'Diritto di ricorso delle associazioni: basta con la politica ostruzionista - Più crescita per la Svizzera!»,90,94,10,9,30,3,Rejection,4996626,116650,2359213,75453,8527,773467,1501766,0,23,none,,,0,,0,Initiative (Formulated Draft),118958,,Schluss mit der VerhinderungspolitikSchluss mit der VerhinderungspolitikSchluss mit der Verhinderungspolitik,,Environment | Legal system | none,47.22,2275233,34,66,no,
33,Country,Switzerland,538,2008-11-30,"Citizen's initiative ""For a reasonable marijuana policy and effective protection of youth""",Volksinitiative vom 13.01.2006 'für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz',Initiative populaire du 13.01.2006 'pour une politique raisonnable en matière de chanvre protégeant efficacement la jeunesse',Iniziativa popolare del 13.01.2006 'per una politica della canapa che sia ragionevole e che protegga efficacemente i giovani',73,111,10,18,19,4,Rejection,4996626,116650,2365431,52198,8348,846985,1457900,0,23,none,,,0,,0,Initiative (Formulated Draft),105994,,Pro Jugendschutz - gegen Drogenkriminalität (PJgD)Protéger la jeunesse contre la narco-criminalité (PJCN)Tutela della gioventù contro il narco-traffico (TGCN),,Addictive substances | Children and young people | none,47.34,2304885,36.75,63.25,no,
34,Country,Switzerland,533,2008-06-01,"Citizen's initiative ""Popular sovereignty instead of government propaganda""",Volksinitiative vom 11.08.2004 'Volkssouveränität statt Behördenpropaganda',Initiative populaire du 11.08.2004 'Souveraineté du peuple sans propagande gouvernementale',,61,134,3,2,38,3,Rejection,4970220,114460,2229213,49202,6887,538928,1634196,0,23,none,,,,,,Initiative (Formulated Draft),106344,,"Verein ""Bürger für Bürger"" Verein ""Bürger für Bürger"" Verein ""Bürger für Bürger""",,"Citizens' rights | Government, administration | Media and communication",44.85,2173124,24.8,75.2,no,
35,Country,Switzerland,532,2008-06-01,"Citizen's initiative ""For democratic naturalisations""",Volksinitiative vom 18.11.2005 'für demokratische Einbürgerungen',Initiative populaire du 18.11.2005 'Pour des naturalisations démocratiques',,67,127,0,7,34,2,Rejection,4970220,114460,2245577,18803,6795,804730,1415249,1,22,none,,,,,,Initiative (Formulated Draft),100038,,Schweizerische Volkspartei SVP Union démocratique du centre UDC Unione democratica di centro UDC,,Citizenship | Citizens' rights | Immigration policy,45.18,2219979,36.25,63.75,no,
36,Country,Switzerland,530,2008-02-24,"Citizen's initiative ""Against the noise of fighter jets in tourist areas""",Volksinitiative vom 03.11.2005 'Gegen Kampfjetlärm in Tourismusgebieten',Initiative populaire du 03.11.2005 'Contre le bruit des avions de combat à réaction dans les zones touristiques',Iniziativa popolare del 03.11.2005 'Contro il rumore dei velivoli da combattimento nelle regioni turistiche',58,119,11,3,31,7,Rejection,4957889,113296,1920885,31488,6218,601071,1282108,0,23,none,,,0,,0,Initiative (Formulated Draft),113049,,Helvetia NostraHelvetia NostraHelvetia Nostra,,Noise protection | Tourism | Army,38.74,1883179,31.92,68.08,no,
37,Country,Switzerland,528,2007-03-11,"Citizen's initiative ""For a social united health insurance""",Volksinitiative vom 09.12.2004 'Für eine soziale Einheitskrankenkasse',Initiative populaire du 09.12.2004 'Pour une caisse maladie unique et sociale',Iniziativa popolare del 09.12.2004 'Per una cassa malati unica e sociale',67,122,2,6,34,2,Rejection,4914140,108505,2257903,16993,8780,641917,1590213,2,21,none,,,0,,0,Initiative (Formulated Draft),111154,,Mouvement Populaire des FamillesMouvement Populaire des FamillesMouvement Populaire des Familles,,Health and accident insurance | none | none,45.95,2232130,28.76,71.24,no,
38,Country,Switzerland,523,2006-09-24,"Citizen's initiative ""Profits from the  National Bank for the old age-  widows-  and orphans insurance fund""",Volksinitiative vom 09.10.2002 'Nationalbankgewinne für die AHV',Initiative populaire du 09.10.2002 'Bénéfices de la Banque nationale pour l'AVS',,62,124,0,7,36,2,Rejection,4893927,108018,2385591,43402,8844,973831,1359514,2.5,20.5,none,,,,,,Initiative (Formulated Draft),116023,,Komitee sichere AHV Comité pour la sécurité AVS (COSA) Comité pour la sécurité AVS (COSA),,Pension insurance | Monetary policy | none,48.75,2333345,41.74,58.26,no,
39,Country,Switzerland,520,2005-11-27,"Citizen's initiative ""For food grown  without genetic modification""",Volksinitiative «für Lebensmittel aus gentechnikfreier Landwirtschaft»,L'initiative populaire «pour des aliments produits sans manipulations génétiques»,,92,92,4,10,35,1,Rejection,4860166,102036,2052913,23046,7550,1125835,896482,23,0,none,,,,,,Initiative (Formulated Draft),120824,,Volksinitiative 'für Lebensmittel aus gentechnikfreier Landwirtschaft' Initiative populaire 'pour des aliments produits sans manipulations génétiques' Iniziativa popolare 'per alimenti prodotti senza manipolazioni genetiche',With a decisive ballot by its President  the National Council rejected the initiative.,Agricultural policy | Genetic engineering | Environmental policy,42.24,2022317,55.67,44.33,yes,
40,Country,Switzerland,512,2004-09-26,"Citizen's initiative ""Postal services for all""",Volksinitiative vom 26.04.2002 'Postdienste für alle',Initiative populaire du 26.04.2002 'Services postaux pour tous',Iniziativa popolare del 26.04.2002 'Servizi postali per tutti',84,105,5,12,31,,Rejection,4814898,92048,2577679,58197,12597,1247771,1259114,9.5,13.5,none,,,0,,0,Initiative (Formulated Draft),106234,,Gewerkschaft KommunikationSyndicat de la CommunicationSindacato della Communicazione,,Post | none | none,53.53,2506885,49.77,50.23,no,
41,Country,Switzerland,506,2004-02-08,"Citizen's initiative ""Lifelong detention for perpetrators of sexual or violent crimes who are judged to be highly dangerous and unable to be rehabilitated""","Volksinitiative vom 03.05.2000 ""Lebenslange Verwahrung für nicht therapierbare  extrem gefährliche Sexual- und Gewaltstraftäter""","Initiative populaire du 03.05.2000 ""Internement à vie pour les délinquants sexuels ou violents jugés très dangereux et non amendables""","Iniziativa popolare del 03.05.2000 ""Internamento a vita per criminali sessuomani o violenti estremamente pericolosi e refrattari alla terapia""",38,134,0,0,45,,Rejection,4789871,88219,2180863,39124,8303,1198867,934569,21.5,1.5,none,,,0,,0,Initiative (Formulated Draft),194390,,Selbsthilfegruppe Licht der HoffnungSelbsthilfegruppe Licht der HoffnungSelbsthilfegruppe Licht der Hoffnung,BBl 2004 2199; entered into force on 08 February 2004  see: AS 2004 2341,Criminal law | Public security | none,45.53,2133436,56.19,43.81,yes,
42,Country,Switzerland,497,2003-05-18,"Citizen's initiative ""Yes to fair rents for tenants""",Volksinitiative 'Ja zu fairen Mieten',Initiative populaire 'pour des loyers loyaux',,60,102,8,4,35,,Rejection,4764888,84216,2362517,61997,10731,749388,1540401,1,22,none,,,,,,Initiative (Formulated Draft),113901,,Schweizerischer Mieterinnen- und Mieterverband Association Suisse des Locataires,,Tenancy issues | none | none,49.58,2289789,32.73,67.27,no,
43,Country,Switzerland,498,2003-05-18,"Citizen's initiative ""For one car-free  Sunday per season - a four-year trial  (Sunday initiative)""",Volksinitiative 'für einen autofreien Sonntag pro Jahreszeit - ein Versuch für vier Jahre (Sonntags-Initiative)',Initiative populaire 'Pour un dimanche sans voitures par saison - un essai limité à quatre ans (Initiative des dimanches)',,70,96,8,8,34,,Rejection,4764888,84216,2373187,20247,10193,881953,1460794,,23,none,,,,,,Initiative (Formulated Draft),111718,,Initiativkomitee Sonntags-Initiative Comitée d'initiative Sonntags-Initiative,,Road transport | none | none,49.81,2342747,37.65,62.35,no,
44,Country,Switzerland,499,2003-05-18,"Citizen's initiative ""Healthcare must be  affordable (health initiative)""",Volksinitiative 'Gesundheit muss bezahlbar bleiben (Gesundheitsinitiative)',Initiative populaire 'La santé à un prix abordable (initiative-santé)',,60,84,7,5,35,,Rejection,4764888,84216,2367157,48813,10577,625073,1682694,,23,none,,,,,,Initiative (Formulated Draft),108081,,Initiativekomitee: Sozialdemokratische Partei der Schweiz SPS comité d'initiative: Parti Socialiste suisse PSS,,Health and accident insurance | none | none,49.68,2307767,27.09,72.91,no,
